"ID","Name","Desc","Turn"
815,"Rebirth 1","",113
817,"Rebirth 2","",121
886,"Rebirth 3","",81
957,"Rebirth 4","",80
1000,"Beta 1","",103
1001,"Beta 2","",65
1004,"Beta 3","",201
1019,"Beta 4","",83
1068,"Beta 5","",76
1087,"Beta 6","",111
1145,"Beta 8","",66
1173,"Beta 9","",91
1228,"Beta 10","",155
1270,"Beta 11","",91
1300,"Beta 12","",88
1301,"Lucky 13","",104
1436,"Beta 14","",120
1462,"Beta 15","",269
1505,"Beta 16","",92
1520,"Fast Start 17","",116
1634,"Fast Start 18","",116
1679,"Fast Start 19","",90
1680,"Beta 20","",240
1768,"Beta 21","",219
1785,"Beta 22","",104
1833,"Fast Start 23","",153
1834,"Beta 24","",73
1879,"Fast Start 25","",83
1897,"Beta 26","",69
1914,"Fast Start 27","",111
1915,"Beta 28","",181
2061,"Fast Start 29","",145
2062,"Beta 30","",151
2162,"Beta 31","",120
2227,"Fast Start 32","",155
2297,"Beta 33","",104
2310,"Fast Start 34","",103
2338,"Beta 35","",71
2339,"Fast Start 36","",101
2424,"Beta 37","",97
2444,"Fast Start 38","",80
2465,"Black Beard Sector 0001","",92
2466,"Alioth Sector 0001","",163
2516,"Bodonia Sector 0001","",88
2554,"Colony 10 Sector 0001","",68
2575,"Epsilon Indi Sector 0001","",91
2648,"Blondonia Sector 0001","",66
2663,"Bubble World Sector 0001","",65
2759,"Cattlian Sector 0001","",123
2881,"Cassiopeia Sector 0001","",154
2882,"Challenger 5 Sector 0001","",65
2972,"Heiffer Sector 0001","",65
2974,"Ceros Sector 0001","",83
3106,"Eridani Sector 0001","",121
3168,"Arcturus Sector 0001","",80
3226,"Bernices Sector 0001","",91
3232,"Cani Ceti 1 Sector 0001","",262
3325,"Hiperborealia Sector 0001","",94
3388,"Alcor Sector 0001","",105
3405,"Crab Sector 0001","",168
3409,"Flatland Sector 0001","",77
3445,"Delta Pegasi Sector 0001","",69
3482,"Casablanca Sector 0001","",81
3504,"Columbo Sector 0001","",58
3543,"Atlantia 2 Sector 0001","",95
3544,"Kzin Sector 0001","",94
3586,"Bootie Sector 0001","",110
3602,"Bonzi Sector 0001","",55
3690,"Colony 6 Sector 0002","",80
3719,"Down World Sector 0002","",67
3725,"Bundy Sector 0002","",78
3728,"Centrum Sector 0002","",53
3760,"Carillon Sector 0002","",62
3794,"Chort Sector 0002","",112
3821,"Estes Sector 0002","",68
3888,"Ceti helios Sector 0002","",40
3889,"Delta Delta Delta Sector 0002","",113
3900,"Ophiuchi Sector 0002","",88
3946,"Gorbie World Sector 0002","",61
3958,"Confederate Planet Sector 0002","",204
4022,"Fresno Sector 0002","",123
4044,"Football Sector 0002","",116
4047,"Gamma Delphi Sector 0002","",93
4058,"Disney World Sector 0002","",52
4066,"Chispix Sector 0002","",94
4194,"Kumar Sector 0002","",109
4214,"Chanda M Sector 0002","",91
4411,"Center Sector 0002","",127
4521,"Fantasia Sector 0002","",61
4544,"Rator Sector 0002","",121
4729,"Gorn Sector 0002","",152
4782,"Roll Sector 0002","",83
4924,"Cestus 3 Sector 0002","",112
4931,"Helms Deep Sector 0002","",80
5117,"Big Dave's Planet Sector 0002","",63
5212,"Tesla Sector 0002","",177
5324,"Grus Sector 0002","",140
5486,"Kazh Sector 0003","",69
5612,"Honda Sector 0003","",97
5818,"Kiloteria Sector 0003","",60
5830,"Hallone Sector 0003","",49
5895,"New Albania Sector 0003","",77
5951,"Cimtar Sector 0003","",114
6027,"New Morocco Sector 0003","",50
6094,"Ceti Alpha one Sector 0003","",70
6253,"Cutimurium Sector 0003","",142
6296,"Indy Sector 0003","",68
6422,"Forbidden Planet Sector 0003","",56
6429,"Lynch Sector 0003","",51
6585,"Kahless Sector 0003","",43
6714,"Dull Planet Sector 0003","",99
6795,"Lyra Sector 0003","",56
6803,"Beta Ti Chi 6 Sector 0003","",99
6881,"Exxonia Sector 0003","",59
6913,"Falcondonia Sector 0003","",65
6969,"Mekbuda Sector 0003","",96
7129,"Mi-Glowdonia Sector 0003","",61
7197,"Innes Sector 0003","",62
7236,"New Boston Sector 0003","",96
7378,"New New Mexico Sector 0003","",144
7413,"Pacifica Sector 0003","",150
7703,"Kojak City Sector 0003","",75
7723,"Part Ofyour World Sector 0003","",116
7846,"Organia Sector 0003","",77
8050,"Garfield Sector 0003","",81
8123,"Romulus Sector 0004","",55
8189,"Ikaal Sector 0004","",98
8195,"Corona Sector 0004","",79
8555,"Shaw Sector 0004","",184
8580,"Vehrnoch Sector 0004","",60
8795,"Morning Star Sector 0004","",51
9066,"Perot's World Sector 0004","",74
9067,"Timbucktoo Sector 0004","",80
9157,"Fussbar Sector 0004","",69
9237,"Tniacth Sector 0004","",56
9339,"Kaye's World Sector 0004","",65
9472,"Kennedy Center Sector 0004","",145
9508,"Kattia Sector 0004","",66
9659,"Pisro Sector 0004","",67
9725,"Regula Sector 0004","",54
9879,"Krell Sector 0004","",89
9983,"Vendor Sector 0004","",69
10110,"Endonians Sector 0004","",93
10312,"Krypton Sector 0004","",116
10415,"Launa Planet Sector 0004","",102
10437,"New Chicago Sector 0004","",62
10493,"Laseria Sector 0004","",51
10592,"Wrong Planet Sector 0004","",47
10624,"Lorah-2 Sector 0004","",92
10721,"Alcatraz Sector 0004","",55
10764,"Sarol Sector 0004","",88
10772,"Thi Alpha Chi Sector 0004","",57
10999,"Hercules Sector 0005","",59
11015,"Serpens Caput 759 Sector 0005","",64
11192,"Twin Planet Sector 0005","",49
11237,"Alcor Sector 0005","",65
11547,"Muracha Sector 0005","",63
12075,"Gathonia Sector 0005","",83
12080,"Thorak Sector 0005","",63
12172,"Cygnet Sector 0005","",100
12188,"Gothos Sector 0005","",63
12320,"Under World Sector 0005","",70
12347,"Alpha Beta Sector 0005","",95
12491,"Alkalurops 459 Sector 0005","",78
12522,"Endor Sector 0005","",65
12703,"Delta Sector 0005","",64
12781,"Nercodonia Sector 0005","",64
12918,"Aranumia Sector 0005","",73
12937,"Baseball Sector 0005","",89
13010,"Arkham Sector 0005","",59
13236,"Leshy Sector 0005","",74
13413,"Lynx Ceti Sector 0005","",84
13447,"Great White Planet Sector 0005","",77
13624,"Hudrak-12 Sector 0005","",47
13798,"Maares 3 Sector 0005","",116
13801,"Milab Sector 0005","",69
14048,"Hypoguria Sector 0006","",91
14146,"Jernsey Sector 0006","",60
14155,"Mileb Sector 0006","",81
14333,"Madonna Sector 0006","",44
14336,"Basketball Sector 0006","",67
14397,"New Endeaver Sector 0006","",75
14449,"Bortex Sector 0006","",71
14515,"Fresno Sector 0006","",64
14607,"Mao 4 Sector 0006","",102
14727,"Colony 10 Sector 0006","",74
14752,"Lacerta Sector 0006","",49
14939,"Lottl Sector 0006","",61
15036,"Bellatrix Sector 0006","",92
15233,"Mao 1 Sector 0006","",74
15244,"Blondonia Sector 0006","",68
15249,"Milon Sector 0006","",44
15485,"Achernar Sector 0006","",50
15616,"Mirak Sector 0006","",54
15851,"Mao 3 Sector 0006","",101
16160,"Merah-5 Sector 0006","",66
16294,"Organia 3 Sector 0006","",83
16407,"NGC 2403-A Sector 0006","",82
16415,"Ravenhurst Sector 0006","",60
16470,"Orionis I Sector 0006","",64
16611,"Kazh Sector 0006","",151
16744,"Serada 9 Sector 0007","",69
16805,"Sirius A Sector 0007","",64
16973,"Blauvehr Sector 0007","",64
17098,"Columbo Sector 0007","",192
17159,"Nekkar Sector 0007","",56
17392,"Nothing Planet Sector 0007","",111
17474,"Delphi Sector 0007","",66
17623,"Australis Sector 0007","",93
17859,"Itarius Sector 0007","",54
18028,"Forel Sector 0007","",73
18092,"Gamma Hydra Sector 0007","",33
18198,"Star Curcuit Sector 0007","",113
18687,"Nervondonia Sector 0007","",131
18765,"Orion Sector 0007","",100
18780,"Deep 1 Sector 0007","Explore Map",69
19039,"Libra Sector 0007","",69
19067,"Bazal Sector 0007","",73
19130,"Green Planet Sector 0007","",66
19132,"Carsonio Sector 0007","Explore Map",71
19275,"Barnard's Sector 0007","",148
19497,"Remit Sector 0007","",152
19728,"Procyon 9 Sector 0008","",89
19784,"New Morocco Sector 0008","",62
19789,"Eridani Sector 0008","",69
19886,"Organia Sector 0008","",53
19944,"B.D. -12 4523 Sector 0008","",80
19961,"Owen 1717 Sector 0008","",55
20109,"Rock Sector 0008","",70
20261,"Lola 23a Sector 0008","",109
20407,"Heiffer Sector 0008","",82
20477,"Outer World Sector 0008","",58
